title,text,rating,date,author
Excellent comfort and ANC,Very soft tips and strong ANC in office environment,5,2026-02-01,Vikram
Overpriced for features,Price is high compared to features offered,2,2026-02-02,Nisha
Amazing battery life,Got almost 7 hours with ANC off very reliable,5,2026-02-03,Parth
Bulky charging case,Case is too big for pocket use daily,3,2026-02-04,Tanvi
Crisp sound profile,Instrument separation is clearly better than peers,5,2026-02-05,Abhay
App is buggy,EQ settings reset automatically after firmware update,2,2026-02-06,Jyoti
Good premium build,Matte finish and hinge feel durable and premium,4,2026-02-07,Sachin
Delivery was quick,Received in one day with proper packaging,5,2026-02-08,Meera
Call quality not stable,Voice breaks intermittently on Teams calls,2,2026-02-09,Farhan
Comfort beats my old buds,No fatigue even during long flights,5,2026-02-10,Sonal
